Date,Open,High,Low,Close,Volume
2023-03-29,268.25,270.78,265.97,269.84,39369387
2023-03-30,272.29,274.99,271.02,273.83,36451574
2023-03-31,271.4,278.3431,271.05,277.77,43393277
2023-04-03,275.09,280.0,273.36,279.65,39871560
2023-04-04,279.66,280.0,273.07,274.53,36859153
2023-04-05,268.29,269.98,263.95,268.81,51501474
2023-04-06,265.84,270.8,264.27,270.37,39765434
2023-04-10,268.23,276.2099,266.69,275.79,39527855
2023-04-11,277.235,277.9,271.26,271.69,31437817
2023-04-12,273.7,274.6799,264.475,264.95,44625895
2023-04-13,267.34,268.869,263.29,264.63,35361528
2023-04-14,265.04,268.83,262.2,267.58,39566013
2023-04-17,265.655,270.06,264.3318,270.02,31348982
2023-04-18,275.335,281.1,273.57,276.67,60481154
2023-04-19,273.61,280.0,272.32,279.31,35866041
2023-04-20,276.71,280.3,270.0,271.04,42771326
2023-04-21,269.52,271.83,267.22,271.19,34510277
2023-04-24,270.13,273.6599,266.7101,270.42,33928186
2023-04-25,270.78,272.47,262.25,262.41,37852716
2023-04-26,270.02,273.3,267.051,269.56,40449391
2023-04-27,273.63,274.95,266.2501,272.26,37716119
2023-04-28,272.25,277.58,270.7148,277.49,29221614
2023-05-01,278.4,290.5844,277.8,289.1,57032853
2023-05-02,286.8,288.3599,280.83,282.1,40272957
2023-05-03,278.4,283.67,274.72,278.02,38338740
2023-05-04,276.51,278.59,272.4,275.62,32185041
2023-05-05,278.255,287.55,277.31,286.8,36149408
2023-05-08,285.22,292.2,283.5,291.51,34497890
2023-05-09,288.99,289.73,284.5,285.71,31486946
2023-05-10,290.05,291.13,284.6128,288.85,36934998
2023-05-11,288.96,289.5,282.46,285.78,32214903
2023-05-12,285.29,287.8,280.46,283.4,27422225
2023-05-15,285.085,289.69,281.52,289.53,29392587
2023-05-16,288.41,298.7,288.32,292.13,44940494
2023-05-17,295.84,301.99,294.3001,301.78,43253541
2023-05-18,304.1,318.28,303.2,316.78,74872501
2023-05-19,315.36,315.8,309.16,312.64,47390765
2023-05-22,309.01,315.2,306.8,311.76,37199967
2023-05-23,310.0,312.88,306.31,306.88,35625326
2023-05-24,302.1,306.07,298.06,305.38,72141851
2023-05-25,385.23,394.8,366.35,379.8,154391067
2023-05-26,378.9,391.7,375.5,389.46,71439676
2023-05-30,405.95,419.38,399.49,401.11,92340110
2023-05-31,394.88,402.95,378.22,378.34,99882681
2023-06-01,384.89,400.5,383.4,397.7,63587295
2023-06-02,400.97,405.0,390.5801,393.27,48273121
2023-06-05,389.09,395.6503,387.07,391.71,39609381
2023-06-06,388.3,391.6,381.48,386.54,38872914
2023-06-07,389.15,394.99,373.56,374.75,51199789
2023-06-08,377.24,388.64,375.05,385.1,41777240
2023-06-09,390.37,397.11,385.67,387.7,42771747
2023-06-12,392.0,395.2999,386.18,394.82,38967335
2023-06-13,401.86,411.01,397.4,410.22,61320816
2023-06-14,408.24,430.0,405.52,429.97,74046502
2023-06-15,426.02,432.89,421.47,426.53,56862204
2023-06-16,434.5,437.21,426.605,426.92,65570941
2023-06-20,429.98,439.9,426.74,438.08,45115311
2023-06-21,435.01,436.15,420.8,430.45,55160291
2023-06-22,422.53,434.255,422.34,430.25,41773743
2023-06-23,424.64,428.09,420.15,422.09,35813984
2023-06-26,424.61,427.64,401.0,406.32,59432192
2023-06-27,407.99,419.4,404.48,418.76,46217470
2023-06-28,406.6,418.45,405.18,411.17,58263927
2023-06-29,415.58,416.0,406.0,408.22,38051430
2023-06-30,416.8,425.5,415.01,423.02,50114775
2023-07-03,425.17,428.98,422.02,424.13,19820919
2023-07-05,421.35,431.77,420.85,423.17,32361756
2023-07-06,418.44,421.79,413.46,421.03,30413879
2023-07-07,423.22,432.14,421.8,425.03,35588147
2023-07-10,426.57,428.11,416.49,421.8,35390811
2023-07-11,424.81,427.58,420.67,424.05,29824406
2023-07-12,430.33,439.35,427.7728,439.02,48127702
2023-07-13,445.18,461.55,444.92,459.77,47820369
2023-07-14,465.8281,480.88,450.6,454.69,77207533
2023-07-17,462.89,464.96,452.6241,464.61,51048822
2023-07-18,467.01,478.9599,457.34,474.94,57019042
2023-07-19,474.64,478.18,467.42,470.77,42750179
2023-07-20,465.07,470.87,450.62,455.2,53786451
2023-07-21,457.88,458.66,441.0,443.09,96376863
2023-07-24,447.31,451.09,440.4,446.12,38309974
2023-07-25,449.41,461.825,449.23,456.79,34808091
2023-07-26,460.21,460.53,446.3,454.52,36423726
2023-07-27,465.19,473.95,457.5,459.0,45597552
2023-07-28,466.68,470.27,463.81,467.5,33119424
2023-07-31,467.54,471.3,465.0601,467.29,25105528
2023-08-01,464.595,469.0,460.27,465.07,23927597
2023-08-02,458.31,458.4,433.87,442.69,53014157
2023-08-03,438.0,451.18,438.0,445.15,32507660
2023-08-04,449.85,456.42,443.93,446.8,36266618
2023-08-07,451.11,455.4,445.6345,454.165,32215354
2023-08-08,448.53,452.42,440.5601,446.64,35384343
2023-08-09,442.74,443.12,421.34,425.54,58644907
2023-08-10,421.6,435.74,418.35,423.88,49270530
2023-08-11,417.51,420.18,406.39,408.55,53308526
2023-08-14,404.86,438.0,403.11,437.53,69028583
2023-08-15,445.6,452.68,437.1,439.4,67651151
2023-08-16,445.2,446.75,434.06,434.86,52745068
2023-08-17,439.7,440.62,430.01,433.435,45239482
2023-08-18,426.35,435.7799,416.6,432.99,58376787
2023-08-21,444.94,470.65,442.22,469.67,69257337
2023-08-22,481.35,481.87,453.331,456.68,75720691
2023-08-23,458.66,472.0,452.08,471.16,77904608
2023-08-24,502.16,502.66,471.59,471.63,115604409
2023-08-25,470.12,478.05,450.24,460.18,92534052
2023-08-28,464.82,469.8,448.88,468.35,68519223
2023-08-29,466.66,490.81,463.9101,487.84,70139699
2023-08-30,490.44,499.27,484.25,492.64,73520598
2023-08-31,493.8,497.44,489.58,493.55,52856977
2023-09-01,497.62,498.0,481.416,485.09,46383030
2023-09-05,482.23,488.5081,478.6,485.48,38265258
2023-09-06,484.41,485.49,465.8,470.61,46866957
2023-09-07,455.25,463.44,451.52,462.41,43332989
2023-09-08,459.42,466.06,452.71,455.72,47389994
2023-09-11,461.48,461.63,443.12,451.78,47396555
2023-09-12,447.38,456.73,445.31,448.7,34925634
2023-09-13,446.0,459.3,445.03,454.85,39835535
2023-09-14,459.5,459.8699,451.31,455.81,37009720
